section,experiment,model,block,benchmark,n,root_accuracy,mapped_accuracy,effect_pp,ci_low_pp,ci_high_pp,randomized_accuracy,map_control_pp,truth_support,parse_failure,decision,source
independent_followup,Qwen3B follow-up,Qwen2.5-3B,block1,ARC-Challenge,64,0.593750,0.671875,7.8125,-6.2500,21.8750,0.337500,33.4375,1.000000,0.027344,inconclusive,outputs/followup_20260826/qwen3b/arc_challenge/summary.json
independent_followup,Qwen3B follow-up,Qwen2.5-3B,block1,OpenBookQA,64,0.703125,0.734375,3.1250,-7.8125,14.0625,0.420313,31.4063,0.968750,0.003906,inconclusive,outputs/followup_20260826/qwen3b/openbookqa/summary.json
independent_followup,Qwen3B follow-up,Qwen2.5-3B,block1,MMLU,64,0.406250,0.500000,9.3750,-3.1250,21.8750,0.263281,23.6719,0.953125,0.055664,inconclusive,outputs/followup_20260826/qwen3b/mmlu/summary.json
independent_followup,Qwen3B follow-up,Qwen2.5-3B,block2,ARC-Challenge,64,0.656250,0.765625,10.9375,-1.5625,23.4375,0.409375,35.6250,1.000000,0.012695,inconclusive,outputs/followup_20260826_block2/qwen3b/arc_challenge/summary.json
independent_followup,Qwen3B follow-up,Qwen2.5-3B,block2,OpenBookQA,64,0.734375,0.828125,9.3750,0.0000,18.7500,0.439844,38.8281,1.000000,0.008789,inconclusive,outputs/followup_20260826_block2/qwen3b/openbookqa/summary.json
independent_followup,Qwen3B follow-up,Qwen2.5-3B,block2,MMLU,64,0.468750,0.500000,3.1250,-7.8125,14.0625,0.312500,18.7500,0.953125,0.043945,inconclusive,outputs/followup_20260826_block2/qwen3b/mmlu/summary.json
independent_followup,Qwen7B precision,Qwen2.5-7B,new,ARC-Challenge,64,0.953125,0.937500,-1.5625,-4.6875,0.0000,0.476563,46.0938,1.000000,0.000000,inconclusive,outputs/followup_7b_20260827/qwen7b_confirmatory/arc_challenge/summary.json
independent_followup,Qwen7B precision,Qwen2.5-7B,new,OpenBookQA,64,0.843750,0.843750,0.0000,-6.2500,6.2500,0.440625,40.3125,0.953125,0.000000,inconclusive,outputs/followup_7b_20260827/qwen7b_confirmatory/openbookqa/summary.json
independent_followup,Qwen7B precision,Qwen2.5-7B,new,MMLU,64,0.796875,0.765625,-3.1250,-12.5000,4.7266,0.457031,30.8594,0.906250,0.022461,inconclusive,outputs/followup_7b_20260827/qwen7b_confirmatory/mmlu/summary.json
independent_followup,Smaller-model replication,Gemma-2-2B,new,ARC-Challenge,64,0.781250,0.875000,9.3750,0.0000,18.7500,0.436719,43.8281,0.968750,0.000000,inconclusive,outputs/followup_gemma2b_20260828/gemma2b/arc_challenge/summary.json
independent_followup,Smaller-model replication,Gemma-2-2B,new,OpenBookQA,64,0.781250,0.781250,0.0000,-7.8125,7.8125,0.439063,34.2188,0.937500,0.001953,inconclusive,outputs/followup_gemma2b_20260828/gemma2b/openbookqa/summary.json
independent_followup,Smaller-model replication,Gemma-2-2B,new,MMLU,64,0.703125,0.593750,-10.9375,-21.8750,-1.5625,0.395313,19.8438,0.906250,0.027344,negative_ci_excludes_zero,outputs/followup_gemma2b_20260828/gemma2b/mmlu/summary.json
independent_followup,Other-family replication,Phi-3.5-mini,new,ARC-Challenge,64,0.875000,0.921875,4.6875,-1.5625,10.9375,0.458594,46.3281,0.984375,0.000000,inconclusive,outputs/followup_other_models_20260828/phi35/analysis/summary.json
independent_followup,Other-family replication,Phi-3.5-mini,new,OpenBookQA,64,0.828125,0.843750,1.5625,-6.2500,9.3750,0.453906,38.9844,0.984375,0.000977,inconclusive,outputs/followup_other_models_20260828/phi35/analysis/summary.json
independent_followup,Other-family replication,Phi-3.5-mini,new,MMLU,64,0.671875,0.687500,1.5625,-7.8125,12.5000,0.409375,27.8125,0.937500,0.032227,inconclusive,outputs/followup_other_models_20260828/phi35/analysis/summary.json
independent_followup,Other-family replication,Mistral-7B,new,ARC-Challenge,64,0.765625,0.828125,6.2500,-6.2500,18.7500,0.478125,35.0000,1.000000,0.000000,inconclusive,outputs/followup_other_models_20260828/mistral7b/analysis/summary.json
independent_followup,Other-family replication,Mistral-7B,new,OpenBookQA,64,0.671875,0.812500,14.0625,4.6875,25.0000,0.425000,38.7500,0.968750,0.000977,positive_ci_excludes_zero,outputs/followup_other_models_20260828/mistral7b/analysis/summary.json
independent_followup,Other-family replication,Mistral-7B,new,MMLU,64,0.640625,0.718750,7.8125,-1.5625,17.1875,0.382813,33.5938,0.968750,0.040039,inconclusive,outputs/followup_other_models_20260828/mistral7b/analysis/summary.json
pooled,Qwen3B two-block pooled,Qwen2.5-3B,blocks1+2,all,384,0.593750,0.666667,7.2917,2.6042,11.9792,0.363802,30.2865,0.979167,0.025391,passed,outputs/followup_20260826/combined_analysis/summary.json
pooled,Qwen7B original+new pooled,Qwen2.5-7B,original+new,all,384,0.843750,0.848958,0.5208,-2.0833,3.1250,0.452474,39.6484,0.958333,0.010091,failed,outputs/followup_7b_20260827/combined_analysis/summary.json
pooled,Gemma2B new pooled,Gemma-2-2B,new,all,192,0.755208,0.750000,-0.5208,-5.7292,4.6875,0.423698,32.6302,0.937500,0.009766,failed,outputs/followup_gemma2b_20260828/combined_analysis/summary.json
pooled,Phi35 new pooled,Phi-3.5-mini,new,all,192,0.791667,0.817708,2.6042,-2.0833,7.8125,0.440625,37.7083,0.968750,0.011068,failed,outputs/followup_other_models_20260828/phi35/analysis/summary.json
pooled,Mistral7B new pooled,Mistral-7B,new,all,192,0.692708,0.786458,9.3750,3.1250,15.6250,0.428646,35.7813,0.979167,0.013672,passed,outputs/followup_other_models_20260828/mistral7b/analysis/summary.json
fixed_model_average,Phi+Mistral new shared panel,Phi-3.5-mini + Mistral-7B,new_shared_384_model_question_observations,all,192,0.742188,0.802083,5.9896,1.8164,10.1563,0.434635,36.7448,0.973958,0.012370,descriptive_ci_positive,outputs/followup_fixed_model_reanalysis_20260828.json
fixed_model_average,Gemma+Phi+Mistral new shared panel,Gemma-2-2B + Phi-3.5-mini + Mistral-7B,new_shared_576_model_question_observations,all,192,0.746528,0.784722,3.8194,0.1736,7.2917,0.430990,35.3733,0.961806,0.011502,descriptive_posthoc_ci_positive,outputs/followup_fixed_model_reanalysis_20260828.json
